case_id,status,collection_name,method,top_k,split,category,latency_ms,hit_rate_at_k,precision_at_k,recall_at_k,map,ndcg_at_k,mrr,retrieved_chunk_ids,relevant_chunk_ids,relevance_by_chunk,query,error
iir-2009-001,ok,iir_recursive_gold_50_03,bm25,10,development,definicional,227.346,0.0,0.0,0.0,0.0,0.0,0.0,"f6c083ba-f729-43e6-af23-47a501001d26,c8cd1a76-662c-43c1-845c-21f5cce4e748,1f03fe2b-c3cd-4069-a1d9-3e539e1c58e7,1cd7b5c9-88e0-41d9-b66e-41f1c2028b5a,4ffb9e4b-7c8f-40fa-8428-2a2278bb7ffb,d519939b-3c7e-43f5-acb5-c10c60cca7ed,e74c4621-2e99-4966-bc15-551c1ad7d708,9ab4a2a3-7e6f-4497-9687-eada54e581e6,ca139f0b-d773-490e-9fc3-76a36616bb4b,ffee2913-2517-4626-b43f-b2abe0a44441","adc16346-8071-4dd1-a802-85e866691760,e7cd6597-29d7-4493-b92b-4e03df88d2ce","{""adc16346-8071-4dd1-a802-85e866691760"": 2.0, ""e7cd6597-29d7-4493-b92b-4e03df88d2ce"": 2.0}",Como o livro define recuperação da informação como área acadêmica?,
iir-2009-001,ok,iir_recursive_gold_50_03,dense,10,development,definicional,213.392,1.0,0.2,1.0,0.583333,0.693426,0.5,"4a074b55-c7fc-4a33-ac3d-18ca41e0aa99,adc16346-8071-4dd1-a802-85e866691760,e7cd6597-29d7-4493-b92b-4e03df88d2ce,b9be921d-9ac4-41e9-8993-3964088ec755,e9588246-db32-4f75-a13d-ac6a089b0bf7,d07382b4-e5f0-4605-a9ae-77cd49eeebd9,7218cf0d-227a-4c08-8d58-5acee31d9012,4a205e45-a476-4a3d-80a2-9820f57465cf,531508d0-0552-4546-9d65-16e20e323dda,9021f7bb-3c8b-4c55-94c3-27112d0e8c22","adc16346-8071-4dd1-a802-85e866691760,e7cd6597-29d7-4493-b92b-4e03df88d2ce","{""adc16346-8071-4dd1-a802-85e866691760"": 2.0, ""e7cd6597-29d7-4493-b92b-4e03df88d2ce"": 2.0}",Como o livro define recuperação da informação como área acadêmica?,
iir-2009-001,ok,iir_recursive_gold_50_03,hybrid,10,development,definicional,200.686,1.0,0.2,1.0,0.333333,0.524981,0.333333,"4a074b55-c7fc-4a33-ac3d-18ca41e0aa99,f6c083ba-f729-43e6-af23-47a501001d26,adc16346-8071-4dd1-a802-85e866691760,c8cd1a76-662c-43c1-845c-21f5cce4e748,1f03fe2b-c3cd-4069-a1d9-3e539e1c58e7,e7cd6597-29d7-4493-b92b-4e03df88d2ce,e9588246-db32-4f75-a13d-ac6a089b0bf7,b9be921d-9ac4-41e9-8993-3964088ec755,1cd7b5c9-88e0-41d9-b66e-41f1c2028b5a,d519939b-3c7e-43f5-acb5-c10c60cca7ed","adc16346-8071-4dd1-a802-85e866691760,e7cd6597-29d7-4493-b92b-4e03df88d2ce","{""adc16346-8071-4dd1-a802-85e866691760"": 2.0, ""e7cd6597-29d7-4493-b92b-4e03df88d2ce"": 2.0}",Como o livro define recuperação da informação como área acadêmica?,
iir-2009-002,ok,iir_recursive_gold_50_03,bm25,10,development,conceitual,197.666,0.0,0.0,0.0,0.0,0.0,0.0,"27a4fad2-384e-4a7c-9dea-77dd341590a4,1f03fe2b-c3cd-4069-a1d9-3e539e1c58e7,e474c1d7-5a2e-4f95-8710-e6bcba63ea65,9ab4a2a3-7e6f-4497-9687-eada54e581e6,7113ee47-0c6f-4075-8a4f-d2a2bebd5641,d519939b-3c7e-43f5-acb5-c10c60cca7ed,f6c083ba-f729-43e6-af23-47a501001d26,8cdf6031-487b-4b33-8696-c74929ecb987,9c792d09-b624-4b77-9d8c-5eeadbd5453c,4a074b55-c7fc-4a33-ac3d-18ca41e0aa99",e9588246-db32-4f75-a13d-ac6a089b0bf7,"{""e9588246-db32-4f75-a13d-ac6a089b0bf7"": 2.0}","Qual é a diferença entre necessidade de informação, consulta e relevância?",
iir-2009-002,ok,iir_recursive_gold_50_03,dense,10,development,conceitual,201.383,1.0,0.1,1.0,0.2,0.386853,0.2,"9e54b966-ee73-457a-8a32-fdf18c7b83db,87faedec-cc19-42b8-8146-44f79af2b91d,93fd75a6-2d62-4d5d-be98-f434ad14469d,094f7103-6fc4-4418-a016-0e0a88db5805,e9588246-db32-4f75-a13d-ac6a089b0bf7,8ecab07a-1981-4ecf-9381-a4f3e785fe6e,9c792d09-b624-4b77-9d8c-5eeadbd5453c,d9d0f2a8-4f53-48af-8af9-a70ff975c594,e7cd6597-29d7-4493-b92b-4e03df88d2ce,07be8dbe-c448-4f7e-a380-4285629e20f4",e9588246-db32-4f75-a13d-ac6a089b0bf7,"{""e9588246-db32-4f75-a13d-ac6a089b0bf7"": 2.0}","Qual é a diferença entre necessidade de informação, consulta e relevância?",
iir-2009-002,ok,iir_recursive_gold_50_03,hybrid,10,development,conceitual,199.924,1.0,0.1,1.0,0.125,0.315465,0.125,"27a4fad2-384e-4a7c-9dea-77dd341590a4,9e54b966-ee73-457a-8a32-fdf18c7b83db,1f03fe2b-c3cd-4069-a1d9-3e539e1c58e7,87faedec-cc19-42b8-8146-44f79af2b91d,93fd75a6-2d62-4d5d-be98-f434ad14469d,e474c1d7-5a2e-4f95-8710-e6bcba63ea65,9c792d09-b624-4b77-9d8c-5eeadbd5453c,e9588246-db32-4f75-a13d-ac6a089b0bf7,094f7103-6fc4-4418-a016-0e0a88db5805,9ab4a2a3-7e6f-4497-9687-eada54e581e6",e9588246-db32-4f75-a13d-ac6a089b0bf7,"{""e9588246-db32-4f75-a13d-ac6a089b0bf7"": 2.0}","Qual é a diferença entre necessidade de informação, consulta e relevância?",
iir-2009-003,ok,iir_recursive_gold_50_03,bm25,10,development,definicional,195.96,0.0,0.0,0.0,0.0,0.0,0.0,"d88b481b-bc06-4cb5-926d-925303b7d1b7,2dbffcb9-1e50-445f-82f1-691566739097,fb2da346-1186-45da-8b83-30aef2e666c5,745b7605-5281-4909-a953-0d1bc0fc0eb4,9c792d09-b624-4b77-9d8c-5eeadbd5453c,084e7b30-6c7e-4be4-9b10-fa7af5cd9fa2,5077e81a-c6c6-410e-b269-678395d4e2f6,9b320b80-25a1-4944-97fa-2d61b7d8f5dc,d0a2aafe-14b8-4a62-9e65-11f264aedfb9,a8b0a329-d359-4fc7-b774-41a7949dad3f",e9588246-db32-4f75-a13d-ac6a089b0bf7,"{""e9588246-db32-4f75-a13d-ac6a089b0bf7"": 2.0}",Quais são os dois componentes centrais de um índice invertido?,
iir-2009-003,ok,iir_recursive_gold_50_03,dense,10,development,definicional,193.132,1.0,0.1,1.0,0.25,0.430677,0.25,"8f7c531b-e86c-407d-b848-8ddb649eb841,088c5aaa-de2d-4b18-8163-c67a893b2883,fb2da346-1186-45da-8b83-30aef2e666c5,e9588246-db32-4f75-a13d-ac6a089b0bf7,2d20848e-eb83-47dd-9bd6-91e0a77cefba,e809521f-bd49-4613-8359-d993ed926bb3,ca139f0b-d773-490e-9fc3-76a36616bb4b,d80a7198-7354-4e1f-a218-920807c3f0bd,07f745aa-16e3-4669-9974-ef7b78faded3,73cd3e62-649c-4c9d-ac5b-cf91c5074cc4",e9588246-db32-4f75-a13d-ac6a089b0bf7,"{""e9588246-db32-4f75-a13d-ac6a089b0bf7"": 2.0}",Quais são os dois componentes centrais de um índice invertido?,
iir-2009-003,ok,iir_recursive_gold_50_03,hybrid,10,development,definicional,221.31,1.0,0.1,1.0,0.166667,0.356207,0.166667,"d88b481b-bc06-4cb5-926d-925303b7d1b7,8f7c531b-e86c-407d-b848-8ddb649eb841,fb2da346-1186-45da-8b83-30aef2e666c5,088c5aaa-de2d-4b18-8163-c67a893b2883,2dbffcb9-1e50-445f-82f1-691566739097,e9588246-db32-4f75-a13d-ac6a089b0bf7,745b7605-5281-4909-a953-0d1bc0fc0eb4,9c792d09-b624-4b77-9d8c-5eeadbd5453c,2d20848e-eb83-47dd-9bd6-91e0a77cefba,084e7b30-6c7e-4be4-9b10-fa7af5cd9fa2",e9588246-db32-4f75-a13d-ac6a089b0bf7,"{""e9588246-db32-4f75-a13d-ac6a089b0bf7"": 2.0}",Quais são os dois componentes centrais de um índice invertido?,
iir-2009-004,ok,iir_recursive_gold_50_03,bm25,10,development,procedimental,226.218,1.0,0.1,1.0,0.5,0.63093,0.5,"3a410bd5-5afb-458f-a31c-5fcfe5ebf73d,8652e6c1-0e48-4293-b8be-0e000059be4a,e9263740-f9a2-4ae9-ab5b-ccdc756c62e6,520deee0-c21b-4384-b2b1-571685bd97fd,2abd8b85-fd8c-4275-8da5-4f4a45284ac5,088c5aaa-de2d-4b18-8163-c67a893b2883,84d33394-ee04-43f2-b345-6d3c846f372d,2dbffcb9-1e50-445f-82f1-691566739097,e20ab581-627d-455e-9a92-30e275aeda54,3364712d-972c-4ac3-bc6a-ac047a380fdf",8652e6c1-0e48-4293-b8be-0e000059be4a,"{""8652e6c1-0e48-4293-b8be-0e000059be4a"": 2.0}",Em que ordem as listas de postings devem ser intersectadas em uma consulta conjuntiva?,
